Blatt,Name,Adresse
,_xleta.MAX,#NAME?
,_xlfn.IFERROR,#NAME?
,alpha,Kalkulation!$E$6
,B_xt,Kalkulation!$K$5
,beta1,Kalkulation!$E$7
,BJB,Kalkulation!$K$6
,gamma1,Kalkulation!$E$8
,gamma2,Kalkulation!$E$9
,gamma3,Kalkulation!$E$10
,k,Kalkulation!$E$11
,m_Tafeln,Tafeln!$B$4:$E$127
,MinAlterFlex,Kalkulation!$H$4
,MinRLZFlex,Kalkulation!$H$5
,n,Kalkulation!$B$6
,P_xt,Kalkulation!$K$9
,ratzu,Kalkulation!$E$12
,Sex,Kalkulation!$B$5
,t,Kalkulation!$B$7
,Tafel,Kalkulation!$E$5
,v_Tafeln,Tafeln!$B$3:$E$3
,v_x,Tafeln!$A$4:$A$127
,VS,Kalkulation!$B$8
,x,Kalkulation!$B$4
,Zins,Kalkulation!$E$4
,zw,Kalkulation!$B$9
